timestamp,ax,ay,az,vibration,rms
3617,-0.0845,0.1116,0.8901,0.0057,0.9050
3637,-0.0879,0.1121,0.8857,0.0050,0.9026
3657,-0.0803,0.1145,0.8875,0.0039,0.9013
3677,-0.0806,0.1143,0.8931,0.0025,0.9021
3697,-0.0803,0.1140,0.8865,0.0023,0.9007
3717,-0.0828,0.1167,0.8809,0.0034,0.8982
3737,-0.0845,0.1174,0.8882,0.0017,0.8987
3757,-0.0857,0.1182,0.8850,0.0017,0.8982
3777,-0.0835,0.1230,0.8906,0.0026,0.8996
3797,-0.0852,0.1191,0.8899,0.0009,0.9003
3817,-0.0818,0.1211,0.8992,0.0034,0.9035
3837,-0.0867,0.1138,0.8860,0.0025,0.9017
3857,-0.0852,0.1140,0.8916,0.0011,0.9020
3877,-0.0869,0.1094,0.8950,0.0026,0.9032
3897,-0.0874,0.1025,0.8936,0.0036,0.9033
3917,-0.0862,0.1042,0.8982,0.0026,0.9048
3937,-0.0874,0.1021,0.9023,0.0032,0.9070
3957,-0.0308,-0.0024,0.8879,0.0369,0.8998
3977,-0.0281,-0.0083,0.8962,0.0277,0.8978
3997,-0.0229,-0.0122,0.8999,0.0212,0.8980
4017,-0.0159,-0.0239,0.8979,0.0189,0.8977
4037,-0.0125,-0.0325,0.8999,0.0160,0.8982
4057,-0.0037,-0.0420,0.9004,0.0150,0.8989
4077,0.0095,-0.0496,0.9063,0.0148,0.9012
4097,0.0205,-0.0598,0.9075,0.0149,0.9035
4117,0.0388,-0.0698,0.8992,0.0164,0.9029
4137,0.0513,-0.0835,0.8975,0.0170,0.9025
4157,0.0647,-0.0937,0.9055,0.0170,0.9052
4177,0.0732,-0.1030,0.9133,0.0160,0.9099
4197,0.1023,-0.1182,0.9099,0.0206,0.9134
4217,0.1304,-0.1279,0.9048,0.0231,0.9156
4237,0.1411,-0.1309,0.9070,0.0194,0.9186
4257,0.1504,-0.1443,0.9185,0.0184,0.9252
4277,0.1653,-0.1470,0.9163,0.0170,0.9301
4297,0.1768,-0.1479,0.9197,0.0152,0.9353
4317,0.1855,-0.1423,0.9185,0.0126,0.9388
4337,0.1816,-0.1365,0.9226,0.0078,0.9422
4357,0.1895,-0.1272,0.9226,0.0082,0.9446
4377,0.1836,-0.1226,0.9309,0.0060,0.9482
4397,0.1841,-0.1023,0.9382,0.0100,0.9521
4417,0.1790,-0.0881,0.9180,0.0105,0.9482
4437,0.1702,-0.0642,0.9084,0.0153,0.9414
4457,0.1501,-0.0457,0.9216,0.0174,0.9391
4477,0.1238,-0.0100,0.9241,0.0254,0.9363
4497,0.0107,0.1074,0.9185,0.0664,0.9273
4517,-0.0017,0.1262,0.9033,0.0534,0.9192
4537,-0.0303,0.1382,0.9021,0.0458,0.9147
4557,-0.0479,0.1445,0.9014,0.0372,0.9127
4577,-0.0691,0.1509,0.8955,0.0324,0.9108
4597,-0.0898,0.1516,0.8970,0.0280,0.9108
4617,-0.0964,0.1455,0.8921,0.0207,0.9097
4637,-0.0942,0.1221,0.8945,0.0129,0.9089
4657,-0.0894,0.0945,0.9072,0.0123,0.9110
4677,-0.0669,0.0618,0.8857,0.0171,0.9045
4697,-0.0535,0.0234,0.8843,0.0238,0.8983
4717,-0.0286,-0.0120,0.8955,0.0289,0.8965
4737,-0.0115,-0.0466,0.9011,0.0319,0.8970
4757,0.0361,-0.0715,0.9016,0.0363,0.8977
4777,0.0728,-0.0947,0.9065,0.0381,0.9009
4797,0.1101,-0.1204,0.9136,0.0403,0.9070
4817,0.1475,-0.1396,0.9099,0.0405,0.9126
4837,0.1741,-0.1560,0.9133,0.0377,0.9199
4857,0.1912,-0.1597,0.9104,0.0312,0.9260
4877,0.1797,-0.1418,0.9421,0.0192,0.9388
4897,0.2017,-0.1318,0.9189,0.0173,0.9418
4917,0.1973,-0.1101,0.9255,0.0123,0.9449
4937,0.1836,-0.0759,0.9248,0.0146,0.9449
4957,0.1484,-0.0388,0.9258,0.0226,0.9423
4977,0.1138,0.0112,0.9229,0.0338,0.9372
4997,0.0686,0.0547,0.9141,0.0421,0.9293
5017,0.0369,0.0896,0.9153,0.0435,0.9243
5037,-0.0686,0.1570,0.8962,0.0674,0.9150
5057,-0.0925,0.1531,0.8979,0.0520,0.9117
5077,-0.0999,0.1460,0.8813,0.0379,0.9060
5097,-0.1006,0.1121,0.8984,0.0228,0.9069
5117,-0.0684,0.0647,0.8850,0.0143,0.9016
5137,-0.0525,0.0142,0.8860,0.0238,0.8967
5157,-0.0183,-0.0344,0.8982,0.0329,0.8960
5177,0.0232,-0.0684,0.9063,0.0378,0.8981
5197,0.0713,-0.1082,0.9109,0.0447,0.9022
5217,0.1265,-0.1294,0.9099,0.0475,0.9070
5237,0.1641,-0.1589,0.9185,0.0477,0.9161
5257,0.1868,-0.1580,0.9216,0.0388,0.9256
5277,0.1987,-0.1450,0.9214,0.0286,0.9331
5297,0.1938,-0.1296,0.9270,0.0176,0.9396
5317,0.1880,-0.1006,0.9287,0.0125,0.9434
5337,0.1670,-0.0654,0.9253,0.0153,0.9429
5357,0.1279,-0.0110,0.9238,0.0292,0.9388
5377,0.0786,0.0488,0.9172,0.0433,0.9314
5397,0.0347,0.0850,0.9099,0.0469,0.9236
5417,-0.0049,0.1301,0.9060,0.0508,0.9178
5437,-0.0479,0.1460,0.8921,0.0483,0.9111
5457,-0.0803,0.1592,0.8982,0.0436,0.9100
5477,-0.1042,0.1580,0.8914,0.0365,0.9087
5497,-0.1047,0.1172,0.9021,0.0221,0.9102
5517,-0.0679,0.0693,0.8845,0.0155,0.9038
5537,-0.0469,0.0012,0.8892,0.0305,0.8986
5557,0.1025,-0.1233,0.9155,0.0754,0.9006
5577,0.1633,-0.1538,0.9084,0.0717,0.9047
5597,0.1946,-0.1580,0.9194,0.0582,0.9151
5617,0.2058,-0.1396,0.9307,0.0409,0.9278
5637,0.1980,-0.1091,0.9390,0.0238,0.9386
5657,0.1758,-0.0659,0.9146,0.0132,0.9369
5677,0.1287,-0.0083,0.9231,0.0253,0.9347
5697,0.0681,0.0586,0.9177,0.0439,0.9285
5717,0.0022,0.1128,0.9221,0.0556,0.9248
5737,-0.0332,0.1497,0.9011,0.0546,0.9178
5757,-0.0798,0.1628,0.9016,0.0510,0.9150
5777,-0.1030,0.1562,0.8896,0.0406,0.9112
5797,-0.1057,0.1106,0.9033,0.0249,0.9119
5817,-0.0693,0.0332,0.8835,0.0244,0.9037
5837,-0.0239,-0.0305,0.8926,0.0362,0.8989
5857,0.0498,-0.0916,0.9038,0.0515,0.8988
5877,0.1223,-0.1328,0.9050,0.0594,0.9015
5897,0.1855,-0.1587,0.9102,0.0610,0.9092
5917,0.2056,-0.1453,0.9248,0.0459,0.9216
5937,0.2026,-0.1248,0.9319,0.0293,0.9327
5957,0.1890,-0.0823,0.9241,0.0162,0.9367
5977,0.1270,-0.0161,0.9221,0.0256,0.9341
5997,0.0603,0.0740,0.9141,0.0510,0.9264
6017,-0.0007,0.1194,0.9150,0.0574,0.9211
6037,-0.0500,0.1614,0.8977,0.0597,0.9143
6057,-0.0989,0.1675,0.9014,0.0538,0.9130
6077,-0.1099,0.1372,0.8965,0.0361,0.9115
6097,-0.0222,-0.0442,0.9053,0.0450,0.9074
6117,0.0613,-0.1086,0.9102,0.0576,0.9065
6137,0.1465,-0.1431,0.9089,0.0640,0.9089
6157,0.2012,-0.1592,0.9153,0.0603,0.9170
6177,0.2200,-0.1436,0.9160,0.0444,0.9254
6197,0.2070,-0.1072,0.9341,0.0247,0.9360
6217,0.1528,-0.0415,0.9209,0.0170,0.9352
6237,0.0852,0.0461,0.9214,0.0432,0.9302
6257,0.0042,0.1125,0.9175,0.0605,0.9239
6277,-0.0432,0.1494,0.8962,0.0604,0.9150
6297,-0.0989,0.1680,0.8933,0.0584,0.9104
6317,-0.1125,0.1428,0.8906,0.0404,0.9079
6337,-0.0786,0.0757,0.8850,0.0176,0.9027
6357,-0.0432,-0.0085,0.8889,0.0308,0.8977
